City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Vernon,CA,2020-01-04 11:19:11,50.27,-119.27,41.0,65,90,3.36
182,Saskylakh,RU,2020-01-04 11:19:11,71.97,114.09,-22.05,97,88,7.25
183,Itaqui,BR,2020-01-04 11:19:11,-29.13,-56.55,75.97,62,0,10.58
184,Pangody,RU,2020-01-04 11:19:12,65.85,74.49,10.29,94,99,15.05
185,Teya,MX,2020-01-04 11:19:12,21.05,-89.07,73.99,94,20,4.7
186,Williston,US,2020-01-04 11:19:13,48.15,-103.62,30.0,92,1,8.01
187,Batagay-Alyta,RU,2020-01-04 11:19:03,67.8,130.41,-24.34,94,0,4.09
188,Longyearbyen,NO,2020-01-04 11:18:50,78.22,15.63,5.0,60,20,5.82
189,Namatanai,PG,2020-01-04 11:19:15,-3.66,152.44,85.03,68,59,1.39
190,Hay River,CA,2020-01-04 11:19:15,60.82,-115.79,-0.4,84,75,14.99
191,Itoman,JP,2020-01-04 11:19:15,26.12,127.67,66.2,72,75,10.29
192,Bull Savanna,JM,2020-01-04 11:19:16,17.89,-77.59,67.75,85,92,3.47
193,Kondinskoye,RU,2020-01-04 11:19:16,59.65,67.41,24.94,92,100,12.95
194,Dikson,RU,2020-01-04 11:19:17,73.51,80.55,-8.99,92,2,15.3
195,Puerto Ayora,EC,2020-01-04 11:19:17,-0.74,-90.35,73.99,82,99,3.0
196,Salta,AR,2020-01-04 11:19:18,-24.79,-65.41,69.8,77,36,2.24
197,Esso,RU,2020-01-04 11:19:18,55.93,158.7,4.98,99,95,5.53
198,Omsukchan,RU,2020-01-04 11:19:18,62.53,155.8,-4.67,85,100,2.37
199,Avera,US,2020-01-04 11:19:19,33.19,-82.53,61.0,88,90,3.36
200,Deputatskiy,RU,2020-01-04 11:19:19,69.3,139.9,-14.78,93,9,0.98
201,Marabba,SD,2020-01-04 11:19:20,12.35,32.18,86.47,14,0,15.52
202,Vanavara,RU,2020-01-04 11:19:20,60.35,102.28,3.76,94,62,4.65
203,Sioux Lookout,CA,2020-01-04 11:19:20,50.1,-91.92,21.2,92,90,3.36
204,Faanui,PF,2020-01-04 11:19:21,-16.48,-151.75,81.03,79,86,10.58
205,Verkhniy Baskunchak,KZ,2020-01-04 11:19:21,48.23,46.72,35.22,62,0,9.04
206,Tuatapere,NZ,2020-01-04 11:19:22,-46.13,167.69,50.0,78,100,3.0
207,Dryden,CA,2020-01-04 11:19:22,49.79,-92.84,21.2,92,90,6.93
208,Kudahuvadhoo,MV,2020-01-04 11:19:22,2.67,72.89,84.11,67,69,4.12
209,Haimen,CN,2020-01-04 11:19:23,31.87,121.18,48.0,80,87,1.01
210,Puerto Berrio,CO,2020-01-04 11:19:24,6.49,-74.4,71.49,92,85,1.39
211,Chekhov,RU,2020-01-04 11:19:24,55.14,37.45,33.01,92,90,11.18
212,Seoul,KR,2020-01-04 11:17:10,37.57,126.98,39.2,55,0,8.05
213,Saint-Philippe,CA,2020-01-04 11:19:25,45.36,-73.48,37.0,93,90,3.33
214,Richards Bay,ZA,2020-01-04 11:19:26,-28.77,32.06,80.49,83,17,32.53
215,Faya,SA,2020-01-04 11:19:26,18.39,42.45,68.0,59,75,10.29
216,Port Elizabeth,US,2020-01-04 11:19:26,39.31,-74.98,53.01,93,90,11.61
217,Mundybash,RU,2020-01-04 11:19:27,53.21,87.28,21.29,97,100,3.83
218,Dickson,US,2020-01-04 11:17:35,36.08,-87.39,44.6,86,90,8.05
219,Joshimath,IN,2020-01-04 11:19:28,30.57,79.57,26.11,87,99,2.51
220,Mishkino,RU,2020-01-04 11:19:28,56.22,46.62,30.2,86,75,17.9
221,Gamba,CN,2020-01-04 11:19:29,28.28,88.52,12.65,47,83,15.75
222,Nouadhibou,MR,2020-01-04 11:19:29,20.93,-17.03,62.6,33,32,18.34
223,Mar Del Plata,AR,2020-01-04 11:18:58,-46.43,-67.52,61.09,33,0,11.59
224,Chihuahua,MX,2020-01-04 11:19:30,28.66,-106.08,30.0,81,0,1.01
225,Malindi,KE,2020-01-04 11:19:30,-3.22,40.12,87.8,66,40,11.41
226,Yamada,JP,2020-01-04 11:19:31,36.58,137.08,42.8,93,75,3.36
227,Amga,RU,2020-01-04 11:19:31,60.89,131.98,-22.31,96,88,2.39
228,Najran,SA,2020-01-04 11:19:33,17.54,44.22,87.8,20,20,6.93
229,Traverse City,US,2020-01-04 11:19:33,44.76,-85.62,30.2,80,90,10.29
230,Victoria,BN,2020-01-04 11:18:57,5.28,115.24,82.4,78,75,10.29
231,Tarko-Sale,RU,2020-01-04 11:19:34,64.92,77.78,10.99,87,88,1.01
232,Bandar-E Lengeh,IR,2020-01-04 11:19:34,26.56,54.88,75.2,64,0,6.93
233,Vardo,US,2020-01-04 11:19:35,39.62,-77.74,51.8,93,90,8.05
234,Chapais,CA,2020-01-04 11:19:35,49.78,-74.86,14.0,85,90,6.93
235,Walvis Bay,NA,2020-01-04 11:19:36,-22.95,14.51,69.8,64,66,11.41
236,Olinda,AU,2020-01-04 11:19:36,-37.84,145.39,61.0,63,90,16.11
237,Champerico,MX,2020-01-04 11:19:37,16.38,-93.6,63.97,90,100,8.81
238,Babstovo,RU,2020-01-04 11:19:37,48.12,132.48,-0.9,81,77,10.4
239,Husavik,CA,2020-01-04 11:19:38,50.56,-96.99,24.01,92,96,1.99
240,Bambous Virieux,MU,2020-01-04 11:18:43,-20.34,57.76,82.99,78,75,11.41
241,Mehamn,NO,2020-01-04 11:19:38,71.03,27.85,22.53,87,100,30.87
242,Samarai,PG,2020-01-04 11:19:39,-10.62,150.67,78.75,81,100,1.03
243,Klaksvik,FO,2020-01-04 11:19:39,62.23,-6.59,33.8,69,100,12.75
244,Bathsheba,BB,2020-01-04 11:19:40,13.22,-59.52,78.8,74,40,11.41
245,Severodvinsk,RU,2020-01-04 11:19:40,64.56,39.82,30.2,74,20,8.95
246,San-Pedro,CI,2020-01-04 11:19:40,4.75,-6.64,79.88,39,2,11.83
247,Berdigestyakh,RU,2020-01-04 11:19:41,62.1,126.7,-16.76,98,98,4.59
248,Mattru,SL,2020-01-04 11:19:41,7.62,-11.83,89.53,17,7,6.02
249,San Julian,PH,2020-01-04 11:19:42,11.75,125.45,79.34,83,50,13.53
250,Jaciara,BR,2020-01-04 11:19:42,-15.95,-54.98,79.59,84,20,6.82
251,Ouadda,CF,2020-01-04 11:19:42,8.07,22.4,96.21,16,39,6.4
252,Seydi,NE,2020-01-04 11:19:43,13.34,7.75,66.2,20,99,24.16
253,Nelson Bay,AU,2020-01-04 11:19:43,-32.72,152.14,93.99,33,0,5.82
254,Georgiyevka,RU,2020-01-04 11:19:44,52.25,40.45,31.77,89,98,16.64
255,Gizo,IL,2020-01-04 11:19:44,31.8,34.94,59.0,100,75,3.36
256,Whitehorse,CA,2020-01-04 11:19:44,60.72,-135.06,1.99,84,90,6.93
257,Merauke,ID,2020-01-04 11:18:07,-8.49,140.4,80.13,79,97,3.56
258,Kochki,RU,2020-01-04 11:19:46,54.33,80.49,14.94,93,98,14.81
259,Katangli,RU,2020-01-04 11:19:46,51.71,143.23,4.23,87,100,11.86
260,Dolgorukovo,RU,2020-01-04 11:19:47,52.32,38.35,29.61,85,100,15.03
261,Tiksi,RU,2020-01-04 11:19:42,71.64,128.87,-16.53,82,80,11.32
262,Mount Gambier,AU,2020-01-04 11:19:48,-37.83,140.78,57.2,67,75,11.41
263,Robertsport,LR,2020-01-04 11:19:48,6.75,-11.37,78.42,56,0,5.59
264,Pangnirtung,CA,2020-01-04 11:19:48,66.15,-65.72,-0.22,96,100,2.06
265,Semnan,IR,2020-01-04 11:19:49,35.58,53.39,46.67,46,57,2.13
266,Ust-Maya,RU,2020-01-04 11:19:49,60.42,134.54,-31.16,98,0,1.83
267,Hithadhoo,MV,2020-01-04 11:19:24,-0.6,73.08,83.95,69,80,6.26
268,Purwa,IN,2020-01-04 11:19:50,26.46,80.77,66.2,68,40,4.7
269,Oktyabrskoye,RU,2020-01-04 11:19:50,56.73,85.44,19.0,78,40,13.42
270,Leticia,CO,2020-01-04 11:19:51,-4.21,-69.94,75.2,100,75,0.67
271,Comodoro Rivadavia,AR,2020-01-04 11:19:41,-45.87,-67.48,62.6,39,20,11.41
272,Lorengau,PG,2020-01-04 11:19:52,-2.02,147.27,84.4,73,100,7.23
273,Balabac,PH,2020-01-04 11:19:52,7.99,117.06,81.07,79,0,15.9
274,Ust-Ishim,RU,2020-01-04 11:19:53,57.69,71.17,18.7,91,100,11.36
275,Bubaque,GW,2020-01-04 11:19:53,11.28,-15.83,75.56,42,23,15.28
276,Nanortalik,GL,2020-01-04 11:19:53,60.14,-45.24,28.24,96,100,3.06
277,Gillette,US,2020-01-04 11:19:54,44.29,-105.5,37.4,59,1,16.11
278,Severo-Kurilsk,RU,2020-01-04 11:19:54,50.68,156.12,26.13,98,98,35.39
279,Manadhoo,MV,2020-01-04 11:19:55,5.77,73.38,83.21,75,0,8.99
280,Chukhloma,RU,2020-01-04 11:19:55,58.76,42.68,32.04,95,100,9.26
281,Lillooet,CA,2020-01-04 11:19:56,50.69,-121.94,42.8,81,90,16.11
282,Umm Kaddadah,SD,2020-01-04 11:19:56,13.6,26.69,75.56,13,44,19.1
283,Novosergiyevka,RU,2020-01-04 11:19:57,52.08,53.65,25.75,94,100,13.91
284,Altamira,BR,2020-01-04 11:17:59,-3.2,-52.21,75.2,100,75,0.6
285,Kosh-Agach,RU,2020-01-04 11:19:58,49.99,88.66,-4.63,93,97,0.98
286,Solnechnyy,RU,2020-01-04 11:19:58,50.72,136.64,-11.13,90,11,1.63
287,Bilara,IN,2020-01-04 11:19:58,26.18,73.71,68.29,36,0,3.94
288,Norfolk,US,2020-01-04 11:17:18,36.85,-76.29,60.01,100,90,4.7
289,Kilmallock,IE,2020-01-04 11:20:00,52.4,-8.57,48.2,87,75,9.17
290,Tomatlan,MX,2020-01-04 11:20:00,19.93,-105.25,56.7,56,30,3.58
291,Kamen-Rybolov,RU,2020-01-04 11:20:00,44.75,132.04,6.15,86,0,2.68
292,Hofn,IS,2020-01-04 11:16:12,64.25,-15.21,34.34,98,100,25.23
293,Kelvington,CA,2020-01-04 11:20:02,52.16,-103.52,11.57,92,80,13.51
294,Przasnysz,PL,2020-01-04 11:20:02,53.02,20.88,41.0,80,75,14.99
295,Douglas,US,2020-01-04 11:20:03,58.28,-134.39,24.8,73,75,5.82
296,Meybod,IR,2020-01-04 11:20:03,32.25,54.02,44.6,65,75,2.46
297,Mount Isa,AU,2020-01-04 11:20:04,-20.73,139.49,93.2,32,18,14.99
298,Bogorodskoye,RU,2020-01-04 11:20:04,52.37,140.44,-3.17,99,99,3.2
299,Peterhead,AU,2020-01-04 11:20:04,-34.83,138.5,64.99,55,75,16.11
300,Ilebo,CD,2020-01-04 11:20:05,-4.33,20.59,94.6,38,100,1.28
301,Birin,NP,2020-01-04 11:20:05,26.89,88.07,42.87,97,67,1.25
302,Puerto Escondido,MX,2020-01-04 11:19:18,15.86,-97.07,68.7,79,23,3.36
303,Beyneu,KZ,2020-01-04 11:20:06,45.32,55.19,30.99,63,60,1.68
304,Ossora,RU,2020-01-04 11:20:07,59.24,163.07,15.46,94,100,11.41
305,Dwarka,IN,2020-01-04 11:19:42,28.58,77.04,66.2,45,20,9.17
306,North Las Vegas,US,2020-01-04 11:20:08,36.2,-115.11,42.8,69,1,5.82
